epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,318.251,0.99814,2.69034,0.00741,0.84646,0.55876,0.60453,0.51128,0.69163,0.74248,0.0091,0.00997984,0.00332661,0.00997984,0.00332661,0.00997984,0.00332661,0.00997984,0.00332661
2,534.053,0.87284,0.84331,0.00615,0.66052,0.63395,0.64934,0.5175,0.76417,0.71433,0.01104,0.019782,0.00659401,0.019782,0.00659401,0.019782,0.00659401,0.019782,0.00659401
3,737.332,0.93157,0.78651,0.00677,0.81046,0.65268,0.69604,0.5244,0.85359,0.7304,0.0137,0.0293862,0.00979541,0.0293862,0.00979541,0.0293862,0.00979541,0.0293862,0.00979541
4,935.883,0.96393,0.79302,0.00717,0.7478,0.6644,0.7021,0.51468,0.8959,0.75334,0.01348,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1185.52,0.95181,0.73214,0.00692,0.71986,0.67729,0.71669,0.55141,0.78972,0.64566,0.01153,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1427.78,0.91762,0.69075,0.00662,0.75095,0.62084,0.65118,0.51668,0.81487,0.78082,0.01249,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1613.17,0.89517,0.64823,0.00638,0.75725,0.7549,0.7904,0.59472,0.74886,0.56338,0.01084,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1798.33,0.87647,0.62139,0.00619,0.76132,0.78921,0.80583,0.61007,0.71967,0.50178,0.01011,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1982.18,0.85954,0.58482,0.00595,0.81298,0.73915,0.77941,0.60595,0.71804,0.53926,0.00995,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2166.09,0.85224,0.56912,0.00588,0.83735,0.76635,0.80716,0.62528,0.69929,0.49143,0.00997,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2349.83,0.83192,0.54198,0.00574,0.79767,0.80198,0.81726,0.62821,0.71383,0.47738,0.01084,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2533.1,0.8313,0.5246,0.00563,0.81578,0.76508,0.80198,0.6302,0.68251,0.47365,0.00936,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2716.66,0.81781,0.51653,0.00556,0.80062,0.74621,0.79962,0.62725,0.68115,0.47342,0.00912,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2898.67,0.80904,0.49608,0.00549,0.82863,0.81492,0.8397,0.64649,0.67916,0.43408,0.0093,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3079.85,0.79288,0.4815,0.00533,0.86379,0.81338,0.85675,0.66671,0.64365,0.40992,0.00864,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3260.25,0.78577,0.46769,0.00529,0.85956,0.83416,0.86092,0.67991,0.63748,0.40729,0.00841,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3441.42,0.78229,0.46481,0.00516,0.85495,0.78976,0.85269,0.67855,0.64576,0.41277,0.00878,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3622.56,0.77503,0.463,0.0051,0.8414,0.81401,0.84944,0.67011,0.6406,0.41061,0.00881,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3803.03,0.76193,0.45624,0.00506,0.82561,0.83394,0.85921,0.68177,0.62921,0.39776,0.0083,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3983.93,0.76286,0.4524,0.00508,0.85233,0.82352,0.87051,0.69129,0.61092,0.40281,0.00812,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4164.69,0.76008,0.44127,0.00502,0.87154,0.81888,0.86804,0.69294,0.6172,0.41557,0.00839,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4345.59,0.74946,0.44503,0.00495,0.86529,0.83184,0.87474,0.69299,0.60739,0.38522,0.00794,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4526.38,0.74526,0.41624,0.00484,0.87754,0.83758,0.88147,0.6973,0.59106,0.36842,0.00747,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4707.14,0.74445,0.41955,0.00482,0.87989,0.84353,0.87598,0.69419,0.5987,0.36156,0.00765,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4887.51,0.73659,0.4182,0.00475,0.87819,0.80406,0.86111,0.69612,0.59026,0.38622,0.00745,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5067.53,0.72839,0.4177,0.00474,0.88567,0.83714,0.88088,0.70783,0.57146,0.34944,0.00711,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5248.51,0.72937,0.41112,0.00464,0.88666,0.82,0.87254,0.7005,0.5884,0.37363,0.00744,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5428.96,0.71812,0.3944,0.00465,0.8724,0.82977,0.88232,0.71569,0.57401,0.36738,0.00733,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5609.03,0.71513,0.39734,0.00463,0.87635,0.84996,0.88414,0.71143,0.58465,0.36529,0.00741,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
